"Santa Cruz",1,4,"Corinthians"
"Internacional",0,0,"Fluminense"
"Palmeiras",1,0,"Portuguesa"
"Ceará",0,0,"Vasco da Gama"
"Coritiba",0,2,"Cruzeiro"
"São Paulo",0,3,"Grêmio"
"Sport",1,0,"Flamengo"
"Bahia",0,0,"Santos"
"Atlético-MG",1,1,"América-MG"
"Botafogo",0,0,"América-GB"
"Ceará",0,1,"Corinthians"
"Cruzeiro",2,1,"Portuguesa"
"Bahia",1,1,"Flamengo"
"América-GB",0,2,"Grêmio"
"Sport",0,2,"Santos"
"Santa Cruz",1,0,"Vasco da Gama"
"Santos",3,1,"São Paulo"
"Botafogo",1,1,"Flamengo"
"América-MG",1,1,"América-GB"
"Grêmio",1,1,"Atlético-MG"
"Coritiba",2,1,"Portuguesa"
"Corinthians",0,0,"Palmeiras"
"Fluminense",0,1,"Vasco da Gama"
"Ceará",0,0,"Santa Cruz"
"Cruzeiro",2,0,"Internacional"
"Bahia",3,0,"Sport"
"Fluminense",2,1,"Coritiba"
"Bahia",0,1,"São Paulo"
"Santos",0,0,"Botafogo"
"América-MG",0,0,"Grêmio"
"Internacional",2,1,"Palmeiras"
"Corinthians",0,0,"Cruzeiro"
"Coritiba",1,0,"Santa Cruz"
"Ceará",1,0,"Fluminense"
"Flamengo",0,1,"Atlético-MG"
"Vasco da Gama",0,3,"Portuguesa"
"Sport",0,0,"São Paulo"
"Santos",0,0,"América-GB"
"Grêmio",1,1,"Botafogo"
"Botafogo",2,1,"América-MG"
"Atlético-MG",4,0,"Bahia"
"Grêmio",2,0,"Sport"
"Santa Cruz",2,2,"Fluminense"
"Coritiba",0,1,"Internacional"
"Palmeiras",1,1,"Cruzeiro"
"Corinthians",4,1,"Portuguesa"
"Flamengo",1,1,"América-GB"
"Sport",1,1,"Atlético-MG"
"Santa Cruz",2,2,"Palmeiras"
"Internacional",0,1,"Portuguesa"
"Fluminense",0,1,"Corinthians"
"Cruzeiro",6,0,"Cear"
"Coritiba",0,2,"Vasco da Gama"
"Bahia",0,0,"América-MG"
"São Paulo",0,0,"Flamengo"
"Portuguesa",1,0,"Fluminense"
"Santa Cruz",1,0,"Cruzeiro"
"Ceará",0,3,"Palmeiras"
"Vasco da Gama",1,1,"Internacional"
"Bahia",1,3,"América-GB"
"Atlético-MG",2,0,"São Paulo"
"Grêmio",1,0,"Santos"
"América-MG",1,1,"Flamengo"
"Sport",0,1,"Botafogo"
"Palmeiras",1,0,"Fluminense"
"Cruzeiro",0,0,"Vasco da Gama"
"Internacional",2,2,"Corinthians"
"Coritiba",2,1,"Cear"
"São Paulo",1,1,"América-MG"
"Flamengo",1,1,"Grêmio"
"Atlético-MG",2,1,"Santos"
"Bahia",0,1,"Botafogo"
"Sport",0,3,"América-GB"
"Vasco da Gama",1,0,"Palmeiras"
"Santa Cruz",3,2,"Portuguesa"
"Corinthians",2,3,"Coritiba"
"Ceará",0,0,"Internacional"
"América-GB",2,0,"Atlético-MG"
"Santos",3,0,"América-MG"
"Botafogo",2,1,"São Paulo"
"Coritiba",0,1,"Palmeiras"
"Santa Cruz",2,2,"Internacional"
"Fluminense",0,1,"Cruzeiro"
"Ceará",0,0,"Portuguesa"
"Corinthians",1,0,"Vasco da Gama"
"Atlético-MG",2,2,"Botafogo"
"São Paulo",2,1,"América-GB"
"Flamengo",1,0,"Santos"
"Grêmio",0,0,"Bahia"
"Sport",1,0,"América-MG"
"Vasco da Gama",0,0,"São Paulo"
"Sport",0,1,"Corinthians"
"Santos",0,0,"Portuguesa"
"Fluminense",0,0,"América-GB"
"Ceará",0,2,"Atlético-MG"
"Cruzeiro",0,0,"Bahia"
"Internacional",1,0,"América-MG"
"Coritiba",2,0,"Grêmio"
"Palmeiras",1,2,"Flamengo"
"Santa Cruz",0,0,"Botafogo"
"Corinthians",0,0,"Atlético-MG"
"Portuguesa",0,3,"América-GB"
"Grêmio",1,0,"Cear"
"Atlético-MG",2,2,"Santa Cruz"
"Flamengo",1,1,"Coritiba"
"Bahia",1,2,"Corinthians"
"São Paulo",1,1,"Cruzeiro"
"Fluminense",0,0,"Botafogo"
"América-MG",1,2,"Palmeiras"
"Sport",0,1,"Vasco da Gama"
"Internacional",1,1,"Santos"
"América-GB",2,1,"Cruzeiro"
"Corinthians",3,1,"América-MG"
"Internacional",2,0,"América-GB"
"Grêmio",1,0,"Portuguesa"
"Sport",0,1,"Fluminense"
"Bahia",2,0,"Santa Cruz"
"Coritiba",1,0,"Atlético-MG"
"Vasco da Gama",0,0,"Flamengo"
"Ceará",0,1,"São Paulo"
"Cruzeiro",0,1,"Santos"
"Palmeiras",3,1,"Botafogo"
"Vasco da Gama",2,0,"América-MG"
"São Paulo",1,1,"Internacional"
"Santa Cruz",1,1,"Grêmio"
"Botafogo",1,0,"Corinthians"
"América-MG",0,0,"Santa Cruz"
"Coritiba",2,1,"América-GB"
"Grêmio",1,0,"Vasco da Gama"
"Bahia",1,1,"Internacional"
"São Paulo",0,1,"Portuguesa"
"Atlético-MG",1,1,"Cruzeiro"
"Ceará",0,0,"Santos"
"Sport",0,2,"Palmeiras"
"Flamengo",0,1,"Fluminense"
"Flamengo",1,0,"Portuguesa"
"América-MG",2,0,"Coritiba"
"Palmeiras",0,1,"Santos"
"Fluminense",2,0,"Atlético-MG"
"Coritiba",2,0,"Bahia"
"Cruzeiro",5,1,"Sport"
"Ceará",1,0,"Botafogo"
"Vasco da Gama",2,2,"América-GB"
"Santa Cruz",1,1,"Flamengo"
"Corinthians",0,2,"São Paulo"
"Internacional",1,0,"Grêmio"
"Bahia",3,1,"Cear"
"Sport",2,1,"Coritiba"
"São Paulo",1,1,"Palmeiras"
"Botafogo",0,0,"Internacional"
"Atlético-MG",5,1,"Portuguesa"
"Ceará",0,1,"América-GB"
"Cruzeiro",0,0,"América-MG"
"Santos",2,0,"Vasco da Gama"
"Santa Cruz",1,1,"Sport"
"Grêmio",1,0,"Fluminense"
"Flamengo",1,3,"Corinthians"
"Coritiba",1,0,"Santos"
"Fluminense",0,0,"América-MG"
"Portuguesa",3,1,"Botafogo"
"América-GB",2,0,"Palmeiras"
"Cruzeiro",2,1,"Grêmio"
"Corinthians",1,1,"Santos"
"Santa Cruz",0,2,"São Paulo"
"Atlético-MG",3,1,"Internacional"
"Sport",0,0,"Portuguesa"
"Bahia",0,0,"Fluminense"
"Ceará",0,1,"Flamengo"
"Vasco da Gama",1,0,"Botafogo"
"São Paulo",2,1,"Fluminense"
"Vasco da Gama",0,0,"Atlético-MG"
"Internacional",2,1,"Sport"
"Coritiba",0,0,"Botafogo"
"Grêmio",0,1,"Palmeiras"
